countryyearcode,INVPRIMARYTEACHERS,PRIMARYTEACHERS,INVLOWERTEACHERS,LOWERTEACHERS,INVUPPERTEACHERS,
ARG1988,0.056063223,17.8370053,,,,
ARG1989,,,,,,
ARG1990,,,,,,
ARG1991,,,,,,
ARG1992,,,,,,
ARG1993,,,,,,
ARG1994,0.063293531,15.79940302,,,,
ARG1995,,,,,,
ARG1996,0.065868512,15.18176081,,,,
ARG1997,0.064244845,15.56545112,,,,
ARG1998,0.05597522,17.86504828,0.080026045,12.49593184,0.050557058,19.77963198
ARG1999,0.052573576,19.0209621,0.084935249,11.77367482,,
ARG2000,0.057696975,17.33193133,0.094434029,10.58940315,0.060889519,16.42318768
ARG2001,0.064476013,15.50964382,0.061356809,16.29810965,0.049205255,20.3230325
ARG2002,0.066377846,15.06526748,0.062122475,16.09723377,0.050214226,19.91467519
ARG2003,,,0.059784164,16.72683758,0.057782314,17.30633356
ARG2004,0.064507904,15.50197643,0.057425863,17.41375667,0.065220794,15.33253342
ARG2005,0.066097753,15.12910732,0.05633275,17.75166314,0.06653295,15.03014679
ARG2006,0.068201341,14.66246836,0.059518129,16.80160338,0.07002651,14.28030615
ARG2007,0.072157132,13.85864386,0.063746822,15.68705651,0.071118078,14.06112237
ARG2008,0.068830888,14.52836108,0.072053735,13.87853102,0.080357681,12.44436113
ARG2009,,,,,,
ARG2010,0.061010775,16.39054743,,,,
ARG2011,0.060841729,16.4360879,,,,
ARG2012,0.06249767,16.00059658,,,,
ARG2013,0.062943053,15.88737688,,,,
ARG2014,0.063575851,15.72924292,,,,
ARG2015,0.064168668,15.58392941,,,,
ARG2016,0.013327799,75.03114235,,,,
ARG2017,0.064659106,15.46572579,,,,
ARG2018,0.051335197,19.47981235,,,,
ARG2019,0.066047163,15.14069581,,,,
ARG2020,,,,,,
ARG2021,,,,,,
ARG2022,,,,,,
ARM1980,,,,,,
ARM1981,,,,,,
ARM1982,,,,,,
ARM1983,,,,,,
ARM1984,,,,,,
ARM1985,,,,,,
ARM1986,,,,,,
ARM1987,,,,,,
ARM1988,,,,,,
ARM1989,,,,,,
ARM1990,,,,,,
ARM1991,0.059049823,16.93485186,,,,
ARM1992,,,,,,
ARM1993,,,,,,
ARM1994,0.046817308,21.35962194,,,,
ARM1995,,,,,,
ARM1996,0.049076513,20.37634571,,,,
ARM1997,0.079480776,12.58165868,,,,
ARM1998,0.080730047,12.38696169,,,,
ARM1999,0.083114579,12.03158357,,,,
ARM2000,,,,,,
ARM2001,0.050201303,19.91980152,,,,
ARM2002,0.046882671,21.32984293,,,,
ARM2003,0.050006877,19.99724951,,,,
ARM2004,0.046846034,21.34652423,,,,
ARM2005,0.045025052,22.20985772,,,,
ARM2006,0.047150759,21.20856643,,,,
ARM2007,0.058675146,17.04299122,,,,
ARM2008,,,,,,
ARM2009,,,,,,
ARM2010,,,,,,
ARM2011,,,,,,
ARM2012,,,,,,
ARM2013,,,,,,
ARM2014,,,,,,
ARM2015,,,,,,
ARM2016,,,,,,
ARM2017,,,,,,
