year,iso,countryyearcode,"School age population, primary education, both sexes (number)","School age population, primary education, female (number)","School age population, primary education, male (number)","School age population, lower secondary education, both sexes (number)","School age population, lower secondary education, female (number)","School age population, lower secondary education, male (number)","School age population, upper secondary education, both sexes (number)","School age population, upper secondary education, female (number)","School age population, upper secondary education, male (number)"
2007,ATG,ATG2007,10097,5029,5068,4414,2234,2180,2827,1444,1383
2008,ATG,ATG2008,10124,5027,5097,4427,2226,2201,2877,1459,1418
2009,ATG,ATG2009,10114,5017,5097,4460,2231,2229,2914,1467,1447
2010,ATG,ATG2010,10022,4965,5057,4534,2261,2273,2945,1472,1473
2011,ATG,ATG2011,9817,4863,4954,4631,2308,2323,2986,1487,1499
2012,ATG,ATG2012,9676,4784,4892,4625,2301,2324,3029,1507,1522
2013,ATG,ATG2013,9609,4746,4863,4555,2261,2294,3070,1527,1543
2014,ATG,ATG2014,9592,4739,4853,4459,2207,2252,3091,1533,1558
2015,ATG,ATG2015,9598,4741,4857,4368,2161,2207,3068,1519,1549
2016,ATG,ATG2016,9586,4740,4846,4298,2126,2172,3013,1488,1525
2017,ATG,ATG2017,9594,4741,4853,4226,2091,2135,2952,1458,1494
2018,ATG,ATG2018,9639,4762,4877,4173,2065,2108,2892,1430,1462
2019,ATG,ATG2019,9727,4801,4926,4133,2045,2088,2837,1404,1433
2020,ATG,ATG2020,9845,4857,4988,4097,2027,2070,2793,1382,1411
2021,ATG,ATG2021,9977,4918,5059,4066,2011,2055,2762,1367,1395
2022,ATG,ATG2022,10100,4976,5124,4065,2010,2055,2740,1356,1384
1980,ARG,ARG1980,3664737,1811754,1852983,1425206,707176,718030,936721,466461,470260
1981,ARG,ARG1981,3767725,1865778,1901947,1438085,714356,723729,941374,469261,472113
1982,ARG,ARG1982,3892330,1929695,1962635,1460933,726525,734408,948482,473296,475186
1983,ARG,ARG1983,4032210,2000117,2032093,1494624,744350,750274,958313,478539,479774
1984,ARG,ARG1984,4178597,2072669,2105928,1534592,765600,768992,971023,485237,485786
1985,ARG,ARG1985,4322409,2142786,2179623,1574574,787109,787465,989145,494907,494238
1986,ARG,ARG1986,4464644,2212533,2252111,1621309,812073,809236,1016389,509831,506558
1987,ARG,ARG1987,4569163,2263818,2305345,1673987,839302,834685,1044188,525042,519146
1988,ARG,ARG1988,4630112,2293766,2336346,1737749,871055,866694,1069459,538841,530618
1989,ARG,ARG1989,4653094,2304741,2348353,1809237,905848,903389,1097729,553678,544051
1990,ARG,ARG1990,4644358,2299597,2344761,1885657,942505,943152,1136336,572829,563507
1991,ARG,ARG1991,4627443,2289411,2338032,1949170,972185,976985,1180654,593811,586843
1992,ARG,ARG1992,4620990,2284069,2336921,1992389,991762,1000627,1228284,616043,612241
1993,ARG,ARG1993,4635841,2289168,2346673,2004630,996201,1008429,1277169,638716,638453
1994,ARG,ARG1994,4668534,2303477,2365057,1995211,990127,1005084,1318461,657634,660827
1995,ARG,ARG1995,4716057,2325788,2390269,1975832,979203,996629,1336708,665438,671270
1996,ARG,ARG1996,4763490,2350160,2413330,1958539,970617,987922,1330799,662441,668358
1997,ARG,ARG1997,4812246,2374981,2437265,1952470,967730,984740,1317397,655828,661569
1998,ARG,ARG1998,4182976,2063911,2119065,1988890,984917,1003973,1950964,970214,980750
1999,ARG,ARG1999,4213048,2078386,2134662,2013475,997184,1016291,1945122,967094,978028
2000,ARG,ARG2000,4236132,2088841,2147291,2035368,1007720,1027648,1956248,972253,983995
2001,ARG,ARG2001,4258638,2099055,2159583,2054556,1016578,1037978,1977553,982032,995521
2002,ARG,ARG2002,4269542,2103242,2166300,2072213,1024470,1047743,1999991,992222,1007769
2003,ARG,ARG2003,4267154,2100687,2166467,2089734,1032180,1057554,2019303,1000702,1018601
2004,ARG,ARG2004,4251138,2091389,2159749,2109398,1040935,1068463,2038169,1008885,1029284
2005,ARG,ARG2005,4226301,2077876,2148425,2129383,1049895,1079488,2058078,1017590,1040488
2006,ARG,ARG2006,4204932,2066516,2138416,2139785,1054342,1085443,2078470,1027356,1051114
2007,ARG,ARG2007,4194374,2060680,2133694,2137785,1052579,1085206,2101955,1038241,1063714
2008,ARG,ARG2008,4195442,2060762,2134680,2126871,1046529,1080342,2124352,1048230,1076122
2009,ARG,ARG2009,4208286,2066802,2141484,2111520,1038425,1073095,2138180,1053841,1084339
2010,ARG,ARG2010,4229171,2076889,2152282,2096783,1030692,1066091,2137471,1052457,1085014
2011,ARG,ARG2011,4248400,2086276,2162124,2089003,1026645,1062358,2125727,1046360,1079367
2012,ARG,ARG2012,4264447,2094077,2170370,2091034,1027435,1063599,2109332,1037979,1071353
2013,ARG,ARG2013,4277708,2100467,2177241,2099488,1031426,1068062,2095092,1030559,1064533
2014,ARG,ARG2014,4288641,2105655,2182986,2110179,1036560,1073619,2087225,1026252,1060973
2015,ARG,ARG2015,4298562,2110309,2188253,2120114,1041332,1078782,2089220,1026856,1062364
2016,ARG,ARG2016,4312640,2117194,2195446,2128042,1045289,1082753,2097390,1030962,1066428
2017,ARG,ARG2017,4331857,2126555,2205302,2133803,1048068,1085735,2108366,1036382,1071984
2018,ARG,ARG2018,4355725,2138161,2217564,2138183,1050114,1088069,2118482,1041265,1077217
2019,ARG,ARG2019,4383292,2151543,2231749,2141938,1051833,1090105,2126716,1045122,1081594
2020,ARG,ARG2020,4411837,2165373,2246464,2146367,1053854,1092513,2131985,1047460,1084525
2021,ARG,ARG2021,4438912,2178695,2260217,2155360,1058319,1097041,2136201,1049660,1086541
2022,ARG,ARG2022,4459486,2188761,2270725,2168599,1064792,1103807,2139850,1051466,1088384
1980,ARM,ARM1980,178325,87447,90878,316428,154665,161763,144912,70722,74190
1981,ARM,ARM1981,180694,88600,92094,306856,150073,156783,139323,68022,71301
1982,ARM,ARM1982,182827,89711,93116,301140,147239,153901,133094,65172,67922
1983,ARM,ARM1983,184728,90642,94086,298981,146106,152875,126551,61931,64620
1984,ARM,ARM1984,186071,91205,94866,299896,146606,153290,120863,58952,61911
1985,ARM,ARM1985,187276,91665,95611,302444,148025,154419,117958,57365,60593
1986,ARM,ARM1986,188945,92398,96547,305152,149537,155615,117970,57389,60581
1987,ARM,ARM1987,191928,93957,97971,303619,148280,155339,117620,57362,60258
1988,ARM,ARM1988,196896,96680,100216,304072,148245,155827,117064,56977,60087
1989,ARM,ARM1989,202945,100010,102935,306556,149733,156823,116160,56222,59938
1990,ARM,ARM1990,208655,103210,105445,310413,152413,158000,114961,55398,59563
1991,ARM,ARM1991,212634,105578,107056,314678,155574,159104,114055,55095,58960
1992,ARM,ARM1992,212798,105924,106874,314725,157136,157589,112779,55422,57357
1993,ARM,ARM1993,211493,105332,106161,313470,157661,155809,111244,55625,55619
1994,ARM,ARM1994,275710,137420,138290,245201,124101,121100,109864,55823,54041
1995,ARM,ARM1995,272981,135653,137328,244301,123976,120325,109181,56093,53088
1996,ARM,ARM1996,270659,133836,136823,244704,124167,120537,109474,56501,52973
1997,ARM,ARM1997,202225,99234,102991,247715,125168,122547,111504,57430,54074
1998,ARM,ARM1998,198179,96891,101288,318079,159165,158914,113909,58480,55429
1999,ARM,ARM1999,191615,93474,98141,322267,160119,162148,116662,59576,57086
2000,ARM,ARM2000,182748,89028,93720,324583,160104,164479,119708,60660,59048
2001,ARM,ARM2001,172625,83950,88675,322923,158264,164659,122717,61614,61103
2002,ARM,ARM2002,162960,79302,83658,315624,154969,160655,124556,62382,62174
2003,ARM,ARM2003,152679,74090,78589,304921,149951,154970,126104,62977,63127
2004,ARM,ARM2004,141869,68390,73479,291692,143545,148147,126563,63083,63480
2005,ARM,ARM2005,131127,62599,68528,277043,136213,140830,124607,62120,62487
2006,ARM,ARM2006,121313,57265,64048,261559,128196,133363,120300,60057,60243
2007,ARM,ARM2007,112586,52546,60040,244092,119303,124789,114550,57396,57154
2008,ARM,ARM2008,106394,49183,57211,226385,109991,116394,109094,54786,54308
2009,ARM,ARM2009,103321,47553,55768,209337,100723,108614,103519,51982,51537
2010,ARM,ARM2010,102780,47323,55457,194620,92460,102160,97382,48699,48683
2011,ARM,ARM2011,138832,64129,74703,183785,86157,97628,90908,45052,45856
2012,ARM,ARM2012,139985,64865,75120,176235,81786,94449,130775,64602,66173
2013,ARM,ARM2013,142853,66348,76505,172346,79509,92837,121525,59006,62519
2014,ARM,ARM2014,147128,68406,78722,171206,78911,92295,113532,53920,59612
2015,ARM,ARM2015,152151,70775,81376,171779,79321,92458,107610,50038,57572
2016,ARM,ARM2016,157093,73156,83937,173593,80307,93286,104320,47945,56375
2017,ARM,ARM2017,161701,75437,86264,176642,81903,94739,102379,47060,55319
2018,ARM,ARM2018,165469,77299,88170,181234,84186,97048,101365,46791,54574
2019,ARM,ARM2019,168119,78611,89508,186929,86960,99969,100992,46802,54190
2020,ARM,ARM2020,169786,79444,90342,192932,89875,103057,101798,47317,54481
2021,ARM,ARM2021,170862,80014,90848,198453,92565,105888,104069,48428,55641
2022,ARM,ARM2022,171666,80509,91157,202886,94793,108093,107115,49908,57207
1980,ABW,ABW1980,6384,3119,3265,2515,1230,1285,4162,2041,2121
1981,ABW,ABW1981,6044,2952,3092,2419,1183,1236,4039,1979,2060
1982,ABW,ABW1982,5732,2798,2934,2281,1114,1167,3840,1881,1959
1983,ABW,ABW1983,5512,2689,2823,2149,1049,1100,3659,1789,1870
1984,ABW,ABW1984,5374,2619,2755,2015,984,1031,3470,1695,1775
1985,ABW,ABW1985,5313,2584,2729,1873,913,960,3259,1589,1670
1986,ABW,ABW1986,5310,2578,2732,1731,844,887,3024,1473,1551
1987,ABW,ABW1987,5453,2658,2795,1677,814,863,2765,1342,1423
1988,ABW,ABW1988,5584,2737,2847,1673,812,861,2594,1251,1343
1989,ABW,ABW1989,5724,2810,2914,1693,827,866,2524,1212,1312
1990,ABW,ABW1990,5890,2881,3009,1733,861,872,2549,1226,1323
1991,ABW,ABW1991,6075,2937,3138,1804,911,893,2641,1286,1355
1992,ABW,ABW1992,6284,3014,3270,1853,930,923,2686,1330,1356
1993,ABW,ABW1993,6574,3146,3428,1951,966,985,2765,1378,1387
1994,ABW,ABW1994,6886,3304,3582,2077,1018,1059,2877,1429,1448
1995,ABW,ABW1995,7156,3455,3701,2214,1083,1131,3018,1489,1529
1996,ABW,ABW1996,7357,3593,3764,2341,1150,1191,3172,1561,1611
1997,ABW,ABW1997,7616,3728,3888,2445,1201,1244,3349,1652,1697
1998,ABW,ABW1998,7863,3863,4000,2506,1232,1274,3527,1743,1784
1999,ABW,ABW1999,8106,3998,4108,2551,1260,1291,3683,1823,1860
2000,ABW,ABW2000,8361,4134,4227,2606,1294,1312,3795,1886,1909
2001,ABW,ABW2001,8622,4261,4361,2674,1336,1338,3887,1939,1948
2002,ABW,ABW2002,8864,4395,4469,2757,1384,1373,3965,1989,1976
2003,ABW,ABW2003,9062,4509,4553,2864,1440,1424,4068,2054,2014
2004,ABW,ABW2004,9189,4583,4606,2976,1499,1477,4194,2126,2068
2005,ABW,ABW2005,9203,4596,4607,3080,1554,1526,4337,2203,2134
2006,ABW,ABW2006,9094,4542,4552,3162,1597,1565,4479,2275,2204
2007,ABW,ABW2007,8980,4464,4516,3171,1586,1585,4486,2254,2232
2008,ABW,ABW2008,8853,4385,4468,3138,1556,1582,4543,2256,2287
2009,ABW,ABW2009,8738,4314,4424,3083,1521,1562,4607,2263,2344
2010,ABW,ABW2010,8663,4265,4398,3040,1497,1543,4622,2255,2367
2011,ABW,ABW2011,8657,4249,4408,3011,1487,1524,4593,2235,2358
2012,ABW,ABW2012,8539,4183,4356,2982,1476,1506,4554,2229,2325
2013,ABW,ABW2013,8448,4135,4313,2964,1465,1499,4529,2233,2296
2014,ABW,ABW2014,8382,4104,4278,2944,1453,1491,4511,2234,2277
2015,ABW,ABW2015,8328,4081,4247,2914,1434,1480,4491,2227,2264
2016,ABW,ABW2016,8256,4052,4204,2874,1412,1462,4462,2211,2251
2017,ABW,ABW2017,8164,4012,4152,2852,1400,1452,4422,2184,2238
2018,ABW,ABW2018,8003,3933,4070,2837,1395,1442,4364,2152,2212
2019,ABW,ABW2019,7773,3824,3949,2821,1389,1432,4310,2123,2187
2020,ABW,ABW2020,7490,3685,3805,2809,1385,1424,4274,2105,2169
2021,ABW,ABW2021,7189,3535,3654,2791,1377,1414,4255,2098,2157
2022,ABW,ABW2022,6951,3417,3534,2717,1342,1375,4235,2091,2144
1980,AUS,AUS1980,1547063,756567,790496,759916,371490,388426,781446,382710,398736
1981,AUS,AUS1981,1559762,762811,796951,761380,372214,389166,780316,382134,398182
1982,AUS,AUS1982,1557217,761223,795994,769142,375967,393175,775300,379502,395798
1983,AUS,AUS1983,1539495,751961,787534,781548,381935,399613,770493,376887,393606
1984,AUS,AUS1984,1508189,735965,772224,797338,389515,407823,771067,376914,394153
1985,AUS,AUS1985,1470206,716787,753419,812560,396798,415762,780816,381502,399314
1986,AUS,AUS1986,1441801,702289,739512,816428,398514,417914,796434,389407,407027
1987,AUS,AUS1987,1430731,696413,734318,807281,393705,413576,815889,398915,416974
1988,AUS,AUS1988,1436562,698987,737575,789537,384684,404853,832020,406526,425494
1989,AUS,AUS1989,1457783,709302,748481,767859,373783,394076,837458,408746,428712
1990,AUS,AUS1990,1488200,724307,763893,747668,363654,384014,827024,403210,423814
1991,AUS,AUS1991,1513448,737069,776379,737406,358650,378756,807384,393801,413583
1992,AUS,AUS1992,1531519,746369,785150,739102,359550,379552,782971,381869,401102
1993,AUS,AUS1993,1543106,752404,790702,995386,484448,510938,515098,251236,263862
1994,AUS,AUS1994,1549257,755524,793733,1008853,491203,517650,501877,244450,257427
1995,AUS,AUS1995,1810305,882589,927716,1025333,499418,525915,498109,242324,255785
1996,AUS,AUS1996,1819417,885714,933703,1034298,504336,529962,499835,243850,255985
1997,AUS,AUS1997,1834073,890696,943377,1042043,507895,534148,506116,247289,258827
1998,AUS,AUS1998,1852648,896948,955700,1048219,510205,538014,513432,250846,262586
1999,AUS,AUS1999,1873001,903698,969303,1053076,511668,541408,521310,254367,266943
2000,AUS,AUS2000,1892290,909869,982421,1058812,513422,545390,526995,256657,270338
2001,AUS,AUS2001,1902225,913755,988470,1070872,518685,552187,535819,260623,275196
2002,AUS,AUS2002,1904272,914627,989645,1081930,523345,558585,541125,262999,278126
2003,AUS,AUS2003,1900005,913159,986846,1094182,528338,565844,544783,264624,280159
2004,AUS,AUS2004,1891718,910329,981389,1109288,534382,574906,547641,265784,281857
2005,AUS,AUS2005,1883350,907769,975581,1125565,540834,584731,552891,267814,285077
2006,AUS,AUS2006,1876849,906400,970449,1140765,547330,593435,573079,276406,296673
2007,AUS,AUS2007,1876211,907641,968570,1144351,548963,595388,587397,282392,305005
2008,AUS,AUS2008,1881126,911516,969610,1141880,548233,593647,593958,284976,308982
2009,AUS,AUS2009,1891429,918128,973301,1138256,547304,590952,593064,284416,308648
2010,AUS,AUS2010,1907809,927902,979907,1135372,546968,588404,588274,282411,305863
2011,AUS,AUS2011,1932148,940341,991807,1140475,551386,589089,595270,286399,308871
2012,AUS,AUS2012,1965495,956572,1008923,1140498,553336,587162,598761,289050,309711
2013,AUS,AUS2013,2007409,976578,1030831,1138743,553868,584875,597623,289720,307903
2014,AUS,AUS2014,2056316,999792,1056524,1136951,553444,583507,592693,288625,304068
2015,AUS,AUS2015,2106863,1023868,1082995,1136909,552999,583910,586931,286649,300282
2016,AUS,AUS2016,2163583,1052487,1111096,1151731,560486,591245,588196,287433,300763
2017,AUS,AUS2017,2209290,1075374,1133916,1172901,571061,601840,590428,288426,302002
2018,AUS,AUS2018,2244271,1092758,1151513,1200575,584803,615772,591931,289048,302883
2019,AUS,AUS2019,2270078,1105481,1164597,1233392,601032,632360,595421,290616,304805
2020,AUS,AUS2020,2291309,1115841,1175468,1267298,617711,649587,604520,294999,309521
2021,AUS,AUS2021,2316191,1128294,1187897,1298131,633116,665015,619671,302624,317047
2022,AUS,AUS2022,2342901,1141434,1201467,1322808,645424,677384,637016,311303,325713
1980,AUT,AUT1980,437418,213820,223598,506670,247828,258842,519916,254637,265279
1981,AUT,AUT1981,415374,203006,212368,493975,241570,252405,520817,254990,265827
1982,AUT,AUT1982,395773,193423,202350,476290,232944,243346,518803,254067,264736
1983,AUT,AUT1983,378763,185071,193692,455678,222861,232817,514050,251739,262311
1984,AUT,AUT1984,365150,178351,186799,434169,212323,221846,505758,247625,258133
1985,AUT,AUT1985,354819,173218,181601,413895,202363,211532,493121,241357,251764
1986,AUT,AUT1986,346932,169281,177651,396101,193585,202516,476357,233065,243292
1987,AUT,AUT1987,339843,165822,174021,380259,185855,194404,456326,223401,232925
1988,AUT,AUT1988,338019,164930,173089,366746,179215,187531,435687,213360,222327
1989,AUT,AUT1989,341567,166666,174901,355079,173447,181632,416418,203903,212515
1990,AUT,AUT1990,348528,170063,178465,346137,168992,177145,399101,195333,203768
1991,AUT,AUT1991,355559,173476,182083,342186,166974,175212,383762,187689,196073
1992,AUT,AUT1992,364428,177779,186649,347539,169593,177946,374162,183142,191020
1993,AUT,AUT1993,370397,180631,189766,356850,174114,182736,365843,179058,186785
1994,AUT,AUT1994,372636,181649,190987,367933,179485,188448,360369,176255,184114
1995,AUT,AUT1995,372552,181546,191006,377845,184262,193583,359743,175785,183958
1996,AUT,AUT1996,373063,181768,191295,384486,187438,197048,364639,178049,186590
1997,AUT,AUT1997,371430,180935,190495,383330,186818,196512,371486,181334,190152
1998,AUT,AUT1998,371811,181091,190720,379510,184910,194600,379158,185031,194127
1999,AUT,AUT1999,374599,182434,192165,375074,182726,192348,384424,187538,196886
2000,AUT,AUT2000,378507,184352,194155,372277,181370,190907,386273,188398,197875
2001,AUT,AUT2001,381106,185668,195438,372331,181435,190896,384696,187626,197070
2002,AUT,AUT2002,381707,185900,195807,377805,184094,193711,385245,188055,197190
2003,AUT,AUT2003,378166,184155,194011,384021,187107,196914,384407,187728,196679
2004,AUT,AUT2004,370292,180337,189955,389427,189722,199705,384652,187850,196802
2005,AUT,AUT2005,359826,175276,184550,391866,190873,200993,386675,188769,197906
2006,AUT,AUT2006,349838,170453,179385,389837,189835,200002,390569,190548,200021
2007,AUT,AUT2007,341541,166487,175054,383443,186817,196626,396620,193644,202976
2008,AUT,AUT2008,335016,163336,171680,374011,182283,191728,401272,195944,205328
2009,AUT,AUT2009,330895,161322,169573,363546,177213,186333,402116,196293,205823
2010,AUT,AUT2010,328706,160228,168478,354063,172589,181474,398624,194490,204134
2011,AUT,AUT2011,327206,159474,167732,346653,168945,177708,391173,190760,200413
2012,AUT,AUT2012,325008,158521,166487,341805,166573,175232,383753,187094,196659
2013,AUT,AUT2013,323275,157743,165532,338356,164961,173395,373862,182194,191668
2014,AUT,AUT2014,322004,157090,164914,335731,163817,171914,364015,177282,186733
2015,AUT,AUT2015,321397,156651,164746,333249,162742,170507,355611,173096,182515
2016,AUT,AUT2016,321746,156601,165145,331077,161726,169351,349495,170112,179383
2017,AUT,AUT2017,324821,157780,167041,333009,162307,170702,351238,170841,180397
2018,AUT,AUT2018,328138,159108,169030,334546,162655,171891,353130,171623,181507
2019,AUT,AUT2019,331763,160632,171131,335783,162896,172887,353925,171812,182113
2020,AUT,AUT2020,335595,162332,173263,336818,163126,173692,353680,171455,182225
2021,AUT,AUT2021,339525,164162,175363,337749,163383,174366,352476,170623,181853
2022,AUT,AUT2022,342759,165741,177018,338173,163543,174630,349521,169224,180297
1980,AZE,AZE1980,427617,209058,218559,776942,380004,396938,331277,162149,169128
1981,AZE,AZE1981,419343,205072,214271,759322,371468,387854,327514,160334,167180
1982,AZE,AZE1982,411905,200919,210986,739641,362358,377283,318784,156669,162115
1983,AZE,AZE1983,406540,197845,208695,721903,353506,368397,310045,152855,157190
1984,AZE,AZE1984,403410,196185,207225,706304,345010,361294,301402,148880,152522
1985,AZE,AZE1985,402454,195911,206543,692850,337181,355669,293714,145060,148654
1986,AZE,AZE1986,403368,196758,206610,681692,330576,351116,287217,141472,145745
1987,AZE,AZE1987,407258,199261,207997,675365,326508,348857,278649,136941,141708
1988,AZE,AZE1988,414383,203200,211183,672685,325019,347666,273655,133257,140398
1989,AZE,AZE1989,425374,208607,216767,671759,325578,346181,272132,130774,141358
1990,AZE,AZE1990,439327,215154,224173,673660,328138,345522,271837,129536,142301
1991,AZE,AZE1991,454450,222258,232192,680832,332968,347864,270509,129106,141403
1992,AZE,AZE1992,470288,230099,240189,690750,340363,350387,266452,129376,137076
1993,AZE,AZE1993,489058,239286,249772,708411,350170,358241,264149,130315,133834
1994,AZE,AZE1994,509846,249602,260244,732246,361780,370466,264104,132041,132063
1995,AZE,AZE1995,530313,259879,270434,760018,374719,385299,268173,134923,133250
1996,AZE,AZE1996,737641,361680,375961,790222,388878,401344,276521,138941,137580
1997,AZE,AZE1997,751358,368172,383186,822766,404426,418340,287095,143645,143450
1998,AZE,AZE1998,755908,370048,385860,855353,420125,435228,297904,148251,149653
1999,AZE,AZE1999,723982,352338,371644,875338,429229,446109,308908,152472,156436
2000,AZE,AZE2000,720249,355476,364773,925701,463392,462309,337846,169972,167874
2001,AZE,AZE2001,701753,341005,360748,933280,467061,466219,353017,176778,176239
2002,AZE,AZE2002,680128,331590,348538,935471,468349,467122,363312,181909,181403
2003,AZE,AZE2003,660670,325032,335638,922359,454967,467392,369839,183682,186157
2004,AZE,AZE2004,624099,304241,319858,907783,444974,462809,379185,189545,189640
2005,AZE,AZE2005,594698,291942,302756,893647,436890,456757,376208,185657,190551
2006,AZE,AZE2006,570656,278402,292254,868438,418478,449960,374677,186841,187836
2007,AZE,AZE2007,540583,255732,284851,843835,407229,436606,375087,185349,189738
2008,AZE,AZE2008,527994,248145,279849,803618,385033,418585,364023,177153,186870
2009,AZE,AZE2009,515672,241211,274461,763967,364460,399507,357588,173582,184006
2010,AZE,AZE2010,513587,239865,273722,725873,344716,381157,349666,168739,180927
2011,AZE,AZE2011,505132,235490,269642,693812,328112,365700,333580,159949,173631
2012,AZE,AZE2012,501738,234134,267604,664345,312474,351871,315152,150806,164346
2013,AZE,AZE2013,495756,231432,264324,653789,306854,346935,291216,138515,152701
2014,AZE,AZE2014,488128,227783,260345,647511,302817,344694,275965,130729,145236
2015,AZE,AZE2015,516989,240810,276179,634384,296199,338185,272678,128761,143917
2016,AZE,AZE2016,545871,253227,292644,625675,291927,333748,402119,189472,212647
2017,AZE,AZE2017,588021,271954,316067,622310,290678,331632,387850,181568,206282
2018,AZE,AZE2018,636923,294123,342800,619933,289364,330569,380517,177914,202603
2019,AZE,AZE2019,658998,304588,354410,637542,296964,340578,383243,178913,204330
2020,AZE,AZE2020,679757,314926,364831,665941,309372,356569,380032,177396,202636
